"ID","Player","Team","Position","RkOv","Status","Age","Opponent","FPts","FP/G","%D","ADP","Ros","+/-","FGM","FGA","3PTM","FTM","FTA","PTS","REB","AST","ST","BLK","TO","3D","2D"
"*005ki*","Brook Lopez","MIL","C,Flx","50","BBB","35","MIA Tue 5:00PM","832","36.17","100%","73.85","98%","0%","5.1","10.2","1.9","1.6","2.0","13.7","5.0","1.5","0.9","2.8","0.9","0.0","0"
"*06210*","Paolo Banchero","ORL","SF,PF,F,Flx","28","SERP","21","OKC Tue 4:30PM","829","36.04","100%","54.75","100%","0%","7.6","15.5","1.2","4.3","6.2","20.7","6.8","4.5","1.0","0.6","3.2","0.0","5"
"*03lls*","Jaylen Brown","BOS","SG,G,SF,F,Flx","39","STARKS","27","@BKN Tue 4:30PM","718","35.9","100%","38.94","100%","0%","8.5","18.4","2.4","2.6","3.7","21.9","4.9","3.3","1.2","0.7","2.5","0.0","0"
"*05uib*","Cade Cunningham","DET","PG,SG,G,Flx","57","SERP","22","@LAL Tue 7:30PM","822","35.74","100%","32.81","100%","0%","8.3","19.4","2.0","3.5","4.0","22.0","3.9","7.3","1.0","0.2","4.3","0.0","4"
"*027p0*","Nikola Vucevic","CHI","C,Flx","35","BBB","33","","854","35.58","100%","39.97","100%","0%","6.8","15.2","0.9","1.5","1.7","16.0","10.3","3.3","0.8","0.7","1.7","0.0","12"
"*04ewt*","Derrick White","BOS","PG,SG,G,Flx","49","CCC","29","@BKN Tue 4:30PM","639","35.5","99%","88.56","100%","+0.1%","4.9","10.3","2.4","3.1","3.6","15.4","3.8","5.2","1.1","0.9","1.8","0.0","1"
"*03ad4*","D'Angelo Russell","LAL","PG,SG,G,Flx","51","HBC","27","DET Tue 7:30PM","814","35.39","99%","97.22","99%","+0.2%","6.3","13.0","2.2","1.9","2.4","16.6","3.3","6.3","0.8","0.5","1.8","0.0","2"
"*05uii*","Franz Wagner","ORL","SG,G,SF,F,Flx","56","Orcas","22","OKC Tue 4:30PM","814","35.39","100%","63.37","100%","0%","7.6","16.6","1.5","3.9","4.7","20.6","5.7","3.7","1.0","0.3","1.7","0.0","0"
"*04qrj*","Jaren Jackson","MEM","PF,F,C,Flx","45","maxpat01","24","","770","35","100%","41.64","100%","0%","7.1","16.3","1.7","4.9","5.8","20.8","5.8","1.8","0.6","1.8","1.9","0.0","1"
"*051ol*","Darius Garland","CLE","PG,G,Flx","187","$C/$","24","","629","34.94","100%","34.09","99%","-0.1%","7.3","15.5","1.6","4.2","5.1","20.5","2.8","6.0","1.6","0.2","3.8","0.0","0"
"*027oo*","Jonas Valanciunas","NO","C,Flx","46","STARKS","31","","825","34.38","98%","99.84","99%","0%","5.4","9.7","0.7","2.5","3.1","14.0","9.0","2.3","0.5","1.3","1.3","0.0","11"
"*051p9*","Keldon Johnson","SA","SG,G,SF,F,Flx","77","GBRAYERS","24","","720","34.29","97%","108.41","98%","-0.3%","6.1","13.2","2.0","2.4","3.2","16.7","6.5","4.0","1.0","0.3","1.4","0.0","5"
"*0621c*","Jalen Duren","DET","C,Flx","101","maxpat01","20","@LAL Tue 7:30PM","472","33.71","97%","100.72","99%","+0.2%","5.7","9.1","0.0","1.1","2.0","12.6","10.9","2.5","0.6","1.4","2.7","0.0","10"
"*05uiu*","Jalen Johnson","ATL","SF,PF,F,Flx","76","SERP","22","","503","33.53","68%","154.6","95%","+0.2%","5.7","9.5","1.1","1.7","2.2","14.1","7.3","2.4","1.1","1.0","2.0","0.0","3"
"*04qrr*","Michael Porter","DEN","SF,PF,F,Flx","64","HBC","25","","802","33.42","98%","93.77","98%","-0.1%","6.5","13.6","2.8","1.0","1.4","17.0","8.0","1.7","0.5","0.8","1.3","0.0","6"
"*049kd*","Deandre Ayton","POR","C,Flx","130","SDP","25","MIN Tue 7:00PM","601","33.39","100%","58.6","98%","0%","6.0","10.2","0.0","0.9","1.2","12.9","10.8","1.6","1.2","0.7","1.9","0.0","10"
"*03ams*","Zach LaVine","CHI","SG,G,SF,F,Flx","200","SERP","28","","597","33.17","100%","44.27","77%","-13.8%","7.3","16.6","2.4","3.9","4.6","21.0","4.8","3.4","0.9","0.2","2.0","0.0","0"
"*03e6n*","Jusuf Nurkic","PHO","C,Flx","54","CCC","29","SAC Tue 7:00PM","726","33","98%","105.7","99%","0%","4.4","9.4","0.7","2.4","3.5","11.8","9.1","3.8","1.0","1.2","2.1","0.0","6"
"*042nw*","Malcolm Brogdon","POR","PG,SG,G,Flx","121","STARKS","31","MIN Tue 7:00PM","493","32.87","82%","139.41","93%","-1%","6.1","14.7","2.0","2.9","3.6","17.0","4.0","6.1","0.9","0.2","1.8","0.0","3"
"*0621e*","Mark Williams","CHA","C,Flx","253","$C/$","22","","623","32.79","97%","89.33","89%","-3.2%","5.2","7.9","0.0","2.4","3.4","12.7","9.7","1.2","0.8","1.1","0.9","0.0","8"
"*031m4*","Dennis Schroder","BKN","PG,G,Flx","66","HBC","30","BOS Tue 4:30PM","752","32.7","87%","134.22","94%","+0.5%","5.5","13.0","1.7","2.7","3.1","15.3","3.0","7.0","1.0","0.1","1.7","0.0","5"
"*01eo9*","Jrue Holiday","BOS","PG,SG,G,Flx","69","STARKS","33","@BKN Tue 4:30PM","616","32.42","100%","51.79","98%","0%","4.7","10.9","1.7","1.3","1.5","12.4","7.1","5.1","0.7","0.9","2.1","0.0","5"
"*05uj9*","Herbert Jones","NO","SF,PF,F,Flx","113","BIGFOOTS","25","","674","32.1","86%","136.02","84%","+0.2%","4.1","8.1","1.2","2.7","3.0","12.0","4.6","2.9","1.7","1.2","1.5","0.0","0"
"*03e6s*","Clint Capela","ATL","C,Flx","75","Jmarr237","29","","702","31.91","98%","99.39","97%","-0.5%","4.7","8.3","0.0","1.5","2.5","10.9","10.4","1.1","0.7","1.6","0.9","0.0","9"
"*03e6u*","Bogdan Bogdanovic","ATL","SG,G,SF,F,Flx","70","Jmarr237","31","","701","31.86","72%","152.93","92%","-0.1%","6.2","13.5","3.4","1.4","1.5","17.2","3.4","2.3","1.4","0.3","1.3","0.0","0"
"*03aq2*","Jerami Grant","POR","SF,PF,F,Flx","81","HBC","29","MIN Tue 7:00PM","605","31.84","100%","73.55","98%","-0.1%","7.3","16.7","2.6","4.9","5.9","22.1","3.8","2.2","0.8","0.9","2.5","0.0","0"
"*01uz7*","Gordon Hayward","OKC","SG,G,SF,F,Flx","220","Jmarr237","33","@ORL Tue 4:30PM","633","31.65","66%","153.25","80%","0%","5.9","12.8","0.9","2.5","3.4","15.3","5.0","4.7","1.3","0.5","1.9","0.0","0"
"*05uj1*","Cameron Thomas","BKN","SG,G,SF,F,Flx","116","Orcas","22","BOS Tue 4:30PM","411","31.62","23%","192.6","86%","+0.3%","8.8","19.9","2.1","3.6","4.3","23.4","3.2","2.3","0.6","0.5","1.7","0.0","0"
"*03lg1*","Ben Simmons","BKN","PG,SG,G,PF,F,Flx","317","GBRAYERS","27","BOS Tue 4:30PM","189","31.5","98%","97.51","94%","0%","3.2","6.0","0.0","0.2","0.7","6.5","10.8","6.7","0.5","0.8","2.5","0.0","2"
"*0621b*","Jalen Williams","OKC","SG,G,SF,PF,F,Flx","52","HBC","22","@ORL Tue 4:30PM","595","31.32","100%","65.41","100%","+0.1%","6.6","12.8","1.1","3.4","3.9","17.8","4.2","3.7","0.8","0.3","1.8","0.0","0"
"*0558t*","Max Strus","CLE","SG,G,SF,PF,F,Flx","87","CCC","27","","715","31.09","46%","160.73","86%","-1%","5.0","12.0","2.8","1.2","1.5","14.0","5.4","3.9","1.0","0.6","1.6","0.0","3"
"*06216*","Shaedon Sharpe","POR","SG,G,SF,F,Flx","201","SERP","20","MIN Tue 7:00PM","681","30.95","94%","116.92","88%","-4%","6.5","15.1","2.3","3.6","4.4","18.8","5.6","3.6","1.0","0.4","2.9","0.0","1"
"*051pi*","Daniel Gafford","DAL","PF,F,C,Flx","62","CCC","25","","588","30.95","98%","89.78","98%","+0.3%","4.2","6.1","0.0","1.5","2.3","9.9","7.2","1.7","0.6","2.1","1.1","0.0","3"
"*027p4*","Tobias Harris","PHI","SF,PF,F,Flx","55","Jmarr237","31","","675","30.68","99%","93.33","98%","+0.1%","6.4","12.5","1.0","3.2","3.6","16.9","6.0","2.7","1.0","0.3","1.8","0.0","2"
"*042n6*","Jakob Poeltl","TOR","C,Flx","95","GBRAYERS","28","","703","30.57","99%","79.1","97%","+0.2%","4.9","6.8","0.0","1.0","2.0","10.8","8.3","2.2","0.7","1.1","1.5","0.0","9"
"*051on*","Coby White","CHI","PG,SG,G,Flx","37","$C/$","23","","733","30.54","63%","149.35","94%","0%","5.8","13.0","3.1","1.7","2.0","16.3","3.5","4.3","0.9","0.3","1.9","0.0","0"
"*027pg*","Bojan Bogdanovic","NY","SF,PF,F,Flx","199","CCC","34","","122","30.5","90%","128.9","90%","-1%","6.0","13.5","2.8","2.8","4.0","17.5","2.5","3.0","2.0","0.0","1.8","0.0","0"
"*0015e*","Mike Conley","MIN","PG,G,Flx","83","Jmarr237","36","@POR Tue 7:00PM","669","30.41","90%","128.91","89%","+0.3%","3.8","8.5","2.3","1.5","1.6","11.4","3.1","6.2","1.0","0.1","1.0","0.0","2"
"*03e74*","Spencer Dinwiddie","LAL","PG,SG,G,Flx","93","Jmarr237","30","DET Tue 7:30PM","638","30.38","98%","97.99","90%","-2.3%","4.7","12.0","2.2","3.0","3.8","14.7","3.8","6.4","0.8","0.1","1.8","0.0","2"
"*03al0*","Aaron Gordon","DEN","PF,F,Flx","89","HBC","28","","604","30.2","98%","108.96","97%","+0.1%","5.4","10.9","0.5","1.6","3.0","12.8","7.3","3.5","1.0","0.8","1.6","0.0","5"
"*04ewm*","Jarrett Allen","CLE","C,Flx","44","Jmarr237","25","","540","30","100%","66.79","100%","0%","5.1","7.6","0.0","2.3","3.2","12.5","8.2","2.2","0.6","0.9","1.7","0.0","4"
"*0017e*","Chris Paul","GS","PG,G,Flx","173","STARKS","38","","567","29.84","99%","87.57","86%","+0.2%","3.1","7.7","1.1","1.4","1.5","8.6","3.6","7.2","1.4","0.1","1.2","0.0","3"
"*04ewn*","OG Anunoby","NY","SG,G,SF,F,Flx","115","SDP","26","","563","29.63","100%","55.49","99%","-0.3%","5.8","12.4","2.6","1.4","2.0","15.6","4.3","2.4","1.1","0.7","1.7","0.0","0"
"*04ewk*","John Collins","UTA","PF,F,C,Flx","84","Jmarr237","26","","650","29.55","100%","90.73","98%","+0.4%","5.5","11.4","1.4","2.0","2.7","14.5","8.6","0.9","0.6","1.0","1.4","0.0","9"
"*02nfz*","Draymond Green","GS","PF,F,C,Flx","215","STARKS","33","","412","29.43","100%","92.74","94%","-0.3%","3.6","7.2","1.3","1.8","2.1","10.2","5.8","6.1","0.4","0.8","2.4","0.0","2"
"*05qtr*","Devin Vassell","SA","SG,G,SF,F,Flx","63","CCC","23","","496","29.18","99%","74.44","99%","+0.2%","6.5","13.7","2.6","2.3","3.0","17.8","3.3","2.8","0.9","0.1","1.4","0.0","0"
"*04qsm*","De'Anthony Melton","PHI","PG,SG,G,Flx","178","Orcas","25","","640","29.09","88%","127.73","85%","-0.6%","4.2","10.6","2.3","2.2","2.7","12.9","4.0","3.8","1.5","0.5","1.4","0.0","0"
"*042nt*","Ivica Zubac","LAC","C,Flx","119","GBRAYERS","26","","639","29.05","91%","123.4","94%","+0.1%","5.3","8.4","0.0","1.7","2.9","12.3","9.0","1.0","0.2","1.5","1.2","0.0","6"
"*049kc*","Malik Monk","SAC","PG,SG,G,Flx","72","BIGFOOTS","26","@PHO Tue 7:00PM","609","29","50%","163.62","89%","+1.6%","4.9","11.0","2.7","2.6","2.9","15.0","2.8","4.9","0.8","0.4","2.2","0.0","1"
"*005kc*","Russell Westbrook","LAC","PG,G,Flx","90","BBB","35","","632","28.73","98%","100.19","95%","-1%","4.6","10.4","0.7","1.6","2.6","11.5","6.4","5.0","1.2","0.5","2.4","0.0","4"
"*06212*","Jabari Smith","HOU","PF,F,C,Flx","98","SERP","20","","570","28.5","99%","87.12","98%","-0.2%","4.9","10.2","1.6","1.1","1.5","12.5","8.7","1.8","0.6","0.8","1.4","0.0","2"
"*06cc8*","Dereck Lively","DAL","C,Flx","160","BIGFOOTS","20","","570","28.5","55%","153.63","82%","-1.7%","4.2","5.5","0.0","0.8","1.4","9.1","8.1","1.3","0.6","1.6","1.3","0.0","4"
"*0621l*","Walker Kessler","UTA","C,Flx","96","CCC","22","","425","28.33","100%","53.76","97%","+0.3%","4.0","7.3","0.1","0.7","1.3","8.9","8.2","0.8","0.4","2.5","1.3","0.0","3"
"*05qtj*","Deni Avdija","WAS","SF,PF,F,Flx","74","GBRAYERS","23","","623","28.32","79%","139.4","93%","+1.1%","4.8","9.2","1.0","1.5","1.8","12.0","5.5","3.9","0.9","0.4","1.5","0.0","0"
"*05uus*","Austin Reaves","LAL","PG,SG,G,SF,F,Flx","53","Orcas","25","DET Tue 7:30PM","651","28.3","99%","88.26","99%","+0.1%","4.9","10.4","1.4","3.0","3.5","14.1","4.7","4.7","1.0","0.1","2.4","0.0","3"
"*005kf*","Eric Gordon","PHO","SG,G,SF,F,Flx","149","maxpat01","35","SAC Tue 7:00PM","565","28.25","5%","405.88","45%","-2.1%","5.5","11.8","2.8","0.7","0.8","14.6","2.1","3.0","1.1","0.6","1.6","0.0","0"
"*03ad0*","Tyus Jones","WAS","PG,G,Flx","48","SDP","27","","621","28.23","98%","89.79","97%","+0.1%","4.8","9.5","1.1","0.6","0.8","11.3","2.9","4.9","1.0","0.2","0.7","0.0","0"
"*06ccf*","Ausar Thompson","DET","SF,F,Flx","125","SERP","21","@LAL Tue 7:30PM","647","28.13","93%","119.14","91%","+3.2%","4.4","9.6","0.3","1.5","2.2","10.6","8.4","2.5","1.0","1.3","1.9","0.0","2"
"*051os*","P.J. Washington","DAL","PF,F,C,Flx","122","Orcas","25","","559","27.95","93%","115.36","93%","+0.3%","5.3","12.3","2.0","1.4","1.9","14.0","5.3","2.5","0.7","0.9","1.4","0.0","2"
"*051or*","Cameron Johnson","BKN","SF,PF,F,Flx","143","CCC","27","BOS Tue 4:30PM","419","27.93","98%","80.48","92%","-1%","5.5","11.9","2.4","1.3","1.6","14.7","5.7","2.7","0.8","0.1","1.3","0.0","1"
"*05qtl*","Cole Anthony","ORL","PG,G,Flx","123","HBC","23","OKC Tue 4:30PM","635","27.61","47%","161.69","71%","-3.5%","5.0","11.0","1.4","3.7","4.4","15.1","4.5","3.6","0.7","0.5","1.9","0.0","1"
